month,order_count,month_name,order_percentage
8,10843,August,10.903953097816796
5,10573,May,10.632435313401917
7,10318,July,10.37600185034342
3,9893,March,9.948612745245924
6,9412,June,9.464908840417936
4,9343,April,9.395520962178578
2,8508,February,8.555827073339971
1,8069,January,8.114359268309853
11,7544,November,7.586408020836475
12,5674,December,5.705895958407498
10,4959,October,4.986876640419948
9,4305,September,4.3292002292816845
