holiday_period,order_count,order_percentage
Regular,74660,75.07969549783289
Fathers Day,4676,4.702285777496204
Mothers Day,4393,4.4176949145724596
Black Friday,4381,4.405627457487355
New Year,3601,3.621242746955481
Festa Junina,3596,3.6162146398366875
Christmas,2312,2.324996731730373
Children Day,1822,1.8322422340885551
